build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
visit-gc-bsan,dashmap-6.2.1,build_failed,0.121,0.000,0,0,2026-07-30T15:21:09Z,1998366
visit-gc-bsan,anstream-1.0.0,build_failed,17.026,0.000,0,0,2026-07-30T15:21:12Z,1998364
visit-gc-bsan,anstyle-query-1.1.5,success,9.530,0.925,3,3,2026-07-30T15:21:27Z,1998370
visit-gc-bsan,camino-1.2.2,success,24.878,2.491,5,5,2026-07-30T15:21:39Z,1998369
visit-gc-bsan,async-lock-3.4.2,test_failed,46.649,2.148,2,0,2026-07-30T15:21:45Z,1998363
visit-gc-bsan,anstyle-1.0.14,success,31.349,1.052,8,8,2026-07-30T15:22:00Z,1998373
visit-gc-bsan,block-buffer-0.12.0,success,9.264,1.833,8,8,2026-07-30T15:22:16Z,1998378
visit-gc-bsan,byteorder-1.5.0,success,50.909,11.006,290,290,2026-07-30T15:22:48Z,1998375
visit-gc-bsan,bit-vec-0.9.1,success,28.177,37.132,58,58,2026-07-30T15:23:33Z,1998381
visit-gc-bsan,arrayvec-0.7.6,success,23.791,5.612,50,50,2026-07-30T15:23:41Z,1998386
visit-gc-bsan,ansi_term-0.12.1,success,51.241,20.938,58,58,2026-07-30T15:23:43Z,1998382
visit-gc-bsan,combine-4.6.7,build_failed,115.250,0.000,0,0,2026-07-30T15:23:43Z,1998372
visit-gc-bsan,base16ct-1.0.0,success,4.180,1.907,10,10,2026-07-30T15:23:52Z,1998391
visit-gc-bsan,cpufeatures-0.3.0,success,4.688,3.221,2,2,2026-07-30T15:23:53Z,1998390
visit-gc-bsan,cc-1.2.63,success,36.793,6.315,15,15,2026-07-30T15:24:07Z,1998385
visit-gc-bsan,errno-0.3.14,success,6.417,1.052,4,4,2026-07-30T15:24:15Z,1998392
visit-gc-bsan,dirs-sys-0.5.0,success,7.887,1.194,9,9,2026-07-30T15:24:17Z,1998395
visit-gc-bsan,bit-set-0.10.0,success,27.379,5.718,24,24,2026-07-30T15:24:21Z,1998389
visit-gc-bsan,colored-3.1.1,test_failed,95.283,51.415,128,19,2026-07-30T15:24:24Z,1998376
visit-gc-bsan,bytemuck-1.25.0,success,13.032,8.616,32,32,2026-07-30T15:24:28Z,1998394
