build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
main-bsan,utf8_iter-1.0.4,success,6.080,0.909,2,2,2026-08-21T16:53:36Z,2058921
main-bsan,r-efi-6.0.0,success,5.945,0.993,4,4,2026-08-21T16:53:36Z,2058908
main-bsan,urlencoding-2.1.3,success,6.089,1.078,9,9,2026-08-21T16:53:36Z,2058885
main-bsan,yansi-1.0.1,success,5.295,2.032,7,7,2026-08-21T16:53:38Z,2058918
main-bsan,subtle-2.6.1,success,9.452,4.765,28,28,2026-08-21T16:53:45Z,2058910
main-bsan,predicates-3.1.4,success,24.001,1.291,19,19,2026-08-21T16:53:47Z,2058853
main-bsan,serde_bytes-0.11.19,success,15.273,3.149,4,4,2026-08-21T16:53:48Z,2058930
main-bsan,shlex-2.0.1,success,18.157,1.579,7,7,2026-08-21T16:53:50Z,2058947
main-bsan,utf8parse-0.2.2,success,20.916,3.327,1,1,2026-08-21T16:53:51Z,2058843
main-bsan,semver-1.0.28,success,3.608,5.723,34,34,2026-08-21T16:53:51Z,2058880
main-bsan,tracing-core-0.1.36,test_failed,30.407,1.233,20,19,2026-08-21T16:53:54Z,2058854
main-bsan,socket2-0.6.4,success,13.069,1.004,10,10,2026-08-21T16:53:55Z,2058861
main-bsan,pin-project-1.1.13,success,26.794,8.530,37,37,2026-08-21T16:53:56Z,2058846
main-bsan,slab-0.4.12,success,16.200,4.121,47,47,2026-08-21T16:53:58Z,2058949
main-bsan,redox_syscall-0.8.0,success,4.246,0.971,1,1,2026-08-21T16:53:56Z,2058915
main-bsan,unicode-bidi-0.3.18,success,8.967,4.782,36,36,2026-08-21T16:53:59Z,2058953
main-bsan,ryu-1.0.23,test_failed,6.929,4.846,20,9,2026-08-21T16:53:57Z,2058905
main-bsan,siphasher-1.0.3,success,8.739,1.417,13,13,2026-08-21T16:53:59Z,2058860
main-bsan,ordered-float-5.3.0,success,7.193,19.993,71,71,2026-08-21T16:54:12Z,2058874
main-bsan,serde_core-1.0.228,success,29.273,2.367,1,1,2026-08-21T16:54:16Z,2058931
main-bsan,generic-array-1.4.2,success,31.832,1.201,3,3,2026-08-21T16:54:17Z,2058928
main-bsan,smallvec-1.15.1,success,34.426,4.001,63,63,2026-08-21T16:54:25Z,2058933
main-bsan,half-2.7.1,success,42.192,3.501,37,37,2026-08-21T16:54:27Z,2058941
main-bsan,httparse-1.10.1,success,36.326,11.866,358,358,2026-08-21T16:54:33Z,2058906
main-bsan,unicode-normalization-0.1.25,success,7.074,67.475,13,13,2026-08-21T16:54:44Z,2058900
main-bsan,serde_json-1.0.150,success,32.549,36.985,137,137,2026-08-21T16:54:44Z,2058889
main-bsan,hashbrown-0.17.1,success,34.720,31.291,106,106,2026-08-21T16:54:46Z,2058923
main-bsan,itertools-0.14.0,success,40.290,24.913,191,191,2026-08-21T16:54:52Z,2058927
main-bsan,zeroize-1.8.2,success,2.590,2.616,13,13,2026-08-21T16:55:03Z,2059001
main-bsan,yoke-0.8.2,success,7.782,2.675,12,12,2026-08-21T16:55:08Z,2059002
main-bsan,combine-4.6.7,success,65.992,6.578,81,81,2026-08-21T16:55:06Z,2058870
main-bsan,rustversion-1.0.22,success,37.290,6.083,2,2,2026-08-21T16:54:58Z,2058864
main-bsan,zerocopy-0.8.50,build_failed,28.730,0.000,0,0,2026-08-21T16:55:30Z,2059004
main-bsan,proc-macro2-1.0.106,success,28.949,11.932,68,68,2026-08-21T16:54:58Z,2058935
main-bsan,which-8.0.2,success,8.088,5.440,24,24,2026-08-21T16:55:35Z,2059005
main-bsan,thread_local-1.1.9,success,27.591,1.707,8,8,2026-08-21T16:55:44Z,2058999
main-bsan,uuid-1.23.2,success,16.557,3.335,60,60,2026-08-21T16:55:47Z,2059010
main-bsan,tokio-stream-0.1.18,success,27.603,26.396,60,60,2026-08-21T16:55:56Z,2059000
main-bsan,tempfile-3.27.0,success,9.094,143.179,64,64,2026-08-21T16:56:12Z,2058895
main-bsan,spin-0.12.0,success,27.675,13.165,34,34,2026-08-21T16:56:14Z,2059008
main-bsan,tinystr-0.8.3,success,31.820,40.583,18,18,2026-08-21T16:56:20Z,2059003
main-bsan,writeable-0.6.3,success,33.288,41.075,16,16,2026-08-21T16:56:39Z,2059009
main-bsan,tungstenite-0.29.0,success,40.346,3.259,43,43,2026-08-21T16:56:40Z,2059013
main-bsan,serde_with-3.20.0,test_failed,80.500,9.441,106,19,2026-08-21T16:56:58Z,2059007
main-bsan,tracing-log-0.2.0,success,48.832,4.190,7,7,2026-08-21T16:57:13Z,2059011
main-bsan,tower-http-0.6.11,success,140.534,1.182,9,9,2026-08-21T16:57:50Z,2059006
