build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
visit-gc,backtrace-0.3.76,test_failed,11.648,11.735,3,1,2026-07-08T17:20:43Z,1926987
visit-gc,constant_time_eq-0.5.0,success,48.153,7.680,12,12,2026-07-08T17:21:09Z,1926986
visit-gc,addr2line-0.26.1,success,68.834,2.793,3,3,2026-07-08T17:21:22Z,1926985
visit-gc,async-trait-0.1.89,success,46.286,3.226,5,4,2026-07-08T17:21:51Z,1926989
visit-gc,camino-1.2.2,test_failed,13.336,16.211,85,81,2026-07-08T17:22:14Z,1926990
visit-gc,concurrent-queue-2.5.0,success,38.814,41.924,45,45,2026-07-08T17:22:25Z,1926988
visit-gc,async-stream-0.3.6,test_failed,32.913,4.817,2,2,2026-07-08T17:22:40Z,1926992
visit-gc,cc-1.2.63,success,8.875,9.545,45,43,2026-07-08T17:23:04Z,1926994
visit-gc,clap_lex-1.1.0,success,14.746,6.429,18,17,2026-07-08T17:23:21Z,1926997
visit-gc,core-foundation-sys-0.8.7,success,1.795,1.833,1,1,2026-07-08T17:23:39Z,1926999
visit-gc,ansi_term-0.12.1,success,9.407,43.799,105,105,2026-07-08T17:23:52Z,1926996
visit-gc,arrayvec-0.7.6,success,5.118,14.538,93,92,2026-07-08T17:24:10Z,1927001
visit-gc,anyhow-1.0.102,success,30.502,25.232,98,97,2026-07-08T17:24:18Z,1926998
visit-gc,alloc-stdlib-0.2.2,test_failed,1.070,3.656,11,2,2026-07-08T17:24:20Z,1927003
visit-gc,atomic-waker-1.1.2,success,35.489,2.394,3,3,2026-07-08T17:24:22Z,1927000
visit-gc,bindgen-0.72.1,test_failed,21.899,23.117,47,29,2026-07-08T17:24:52Z,1927002
visit-gc,anstyle-query-1.1.5,success,6.129,6.360,3,3,2026-07-08T17:24:54Z,1927007
visit-gc,bytemuck-1.25.0,success,1.261,13.494,43,41,2026-07-08T17:25:01Z,1927009
visit-gc,const-oid-0.10.2,test_failed,18.255,5.819,27,26,2026-07-08T17:25:07Z,1927005
visit-gc,bincode-2.0.1,success,46.280,79.681,86,82,2026-07-08T17:25:06Z,1926993
visit-gc,cpufeatures-0.3.0,success,0.553,4.471,3,3,2026-07-08T17:25:21Z,1927014
visit-gc,arc-swap-1.9.1,test_failed,43.625,104.405,40,35,2026-07-08T17:25:19Z,1926995
visit-gc,anstream-1.0.0,success,45.405,5.929,30,21,2026-07-08T17:25:52Z,1927008
visit-gc,alloc-no-stdlib-2.0.4,success,4.168,10.410,9,9,2026-07-08T17:26:00Z,1927018
visit-gc,bit-set-0.10.0,success,13.647,15.439,47,47,2026-07-08T17:26:09Z,1927017
visit-gc,byteorder-1.5.0,success,7.292,48.136,412,412,2026-07-08T17:26:14Z,1927012
visit-gc,android_system_properties-0.1.5,success,3.157,1.992,4,4,2026-07-08T17:26:22Z,1927021
visit-gc,block-buffer-0.12.0,success,4.038,4.131,11,11,2026-07-08T17:26:25Z,1927020
visit-gc,allocator-api2-0.4.0,success,10.216,41.002,167,167,2026-07-08T17:26:31Z,1927015
visit-gc,colored-3.1.1,test_failed,27.502,13.102,128,19,2026-07-08T17:26:31Z,1927016
visit-gc,crc32fast-1.5.0,test_failed,5.376,70.098,6,5,2026-07-08T17:26:35Z,1927010
visit-gc,base16ct-1.0.0,success,1.316,4.035,11,11,2026-07-08T17:26:41Z,1927024
visit-gc,anstyle-1.0.14,success,6.927,6.380,42,42,2026-07-08T17:26:54Z,1927023
visit-gc,bumpalo-3.20.3,success,34.872,14.321,52,49,2026-07-08T17:27:16Z,1927019
visit-gc,combine-4.6.7,test_failed,73.520,42.998,227,224,2026-07-08T17:27:09Z,1927006
visit-gc,bit-vec-0.9.1,success,12.245,110.273,106,106,2026-07-08T17:27:25Z,1927013
visit-gc,crossbeam-utils-0.8.21,success,9.520,40.636,221,220,2026-07-08T17:28:31Z,1927037
visit-gc,async-lock-3.4.2,success,8.425,97.934,118,114,2026-07-08T17:28:38Z,1927022
visit-gc,crossbeam-queue-0.3.12,success,12.118,62.900,36,36,2026-07-08T17:28:53Z,1927036
visit-gc,dashmap-6.2.1,test_failed,6.035,15.829,20,20,2026-07-08T17:29:24Z,1927043
visit-gc,data-encoding-2.11.0,success,8.200,13.451,43,42,2026-07-08T17:29:38Z,1927070
visit-gc,der-0.8.0,test_failed,24.386,10.539,78,76,2026-07-08T17:29:56Z,1927072
visit-gc,dirs-sys-0.5.0,success,16.108,8.899,9,9,2026-07-08T17:30:05Z,1927075
visit-gc,csv-1.4.0,test_failed,16.585,54.829,183,141,2026-07-08T17:30:08Z,1927041
visit-gc,dirs-sys-next-0.1.2,success,3.272,3.274,9,9,2026-07-08T17:30:10Z,1927076
visit-gc,dyn-clone-1.0.20,success,19.489,4.576,13,12,2026-07-08T17:30:22Z,1927078
visit-gc,either-1.16.0,success,9.209,10.573,65,65,2026-07-08T17:30:37Z,1927080
visit-gc,bytes-1.11.1,success,5.044,330.307,1231,1230,2026-07-08T17:31:02Z,1927011
visit-gc,erased-serde-0.4.10,success,20.217,9.098,31,30,2026-07-08T17:31:03Z,1927082
visit-gc,errno-0.3.14,test_failed,2.599,1.594,4,3,2026-07-08T17:31:20Z,1927086
visit-gc,event-listener-strategy-0.5.4,success,3.530,2.718,5,5,2026-07-08T17:32:07Z,1927089
visit-gc,form_urlencoded-1.2.2,success,1.019,0.693,1,1,2026-07-08T17:32:28Z,1927095
visit-gc,fixedbitset-0.5.7,success,5.917,57.490,69,69,2026-07-08T17:32:30Z,1927091
visit-gc,event-listener-5.4.1,success,26.716,8.383,43,43,2026-07-08T17:32:29Z,1927087
visit-gc,futures-channel-0.3.32,test_failed,1.240,2.002,1,1,2026-07-08T17:32:38Z,1927097
visit-gc,foreign-types-0.5.0,success,9.136,3.010,5,5,2026-07-08T17:32:39Z,1927094
visit-gc,futures-task-0.3.32,test_failed,1.211,1.531,3,1,2026-07-08T17:32:56Z,1927099
visit-gc,foldhash-0.2.0,success,39.728,2.196,4,4,2026-07-08T17:33:28Z,1927092
visit-gc,futures-util-0.3.32,test_failed,22.355,13.704,156,2,2026-07-08T17:33:56Z,1927100
