build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
aa4e1ea-bsan,block-buffer-0.12.0,success,8.584,1.844,8,8,2026-07-30T17:13:05Z,1998880
aa4e1ea-bsan,anstyle-query-1.1.5,success,4.220,1.056,3,3,2026-07-30T17:14:14Z,1998882
aa4e1ea-bsan,bit-vec-0.9.1,success,36.832,36.648,58,58,2026-07-30T17:14:52Z,1998881
aa4e1ea-bsan,dashmap-6.2.1,build_failed,0.100,0.000,0,0,2026-07-30T17:16:52Z,1998890
aa4e1ea-bsan,camino-1.2.2,success,55.216,4.978,5,5,2026-07-30T17:17:09Z,1998886
aa4e1ea-bsan,cc-1.2.63,success,28.123,7.486,15,15,2026-07-30T17:16:32Z,1998877
aa4e1ea-bsan,anstream-1.0.0,build_failed,27.141,0.000,0,0,2026-07-30T17:16:29Z,1998878
aa4e1ea-bsan,colored-3.1.1,test_failed,116.663,50.723,128,19,2026-07-30T17:18:19Z,1998884
aa4e1ea-bsan,errno-0.3.14,success,11.647,1.619,4,4,2026-07-30T17:18:10Z,1998893
aa4e1ea-bsan,bytemuck-1.25.0,success,30.002,10.255,32,32,2026-07-30T17:18:55Z,1998894
aa4e1ea-bsan,bit-set-0.10.0,success,49.612,9.559,24,24,2026-07-30T17:19:30Z,1998892
aa4e1ea-bsan,base16ct-1.0.0,success,14.518,4.151,10,10,2026-07-30T17:20:25Z,1998901
aa4e1ea-bsan,arrayvec-0.7.6,success,44.544,7.701,50,50,2026-07-30T17:20:36Z,1998900
aa4e1ea-bsan,cpufeatures-0.3.0,success,12.022,3.387,2,2,2026-07-30T17:20:58Z,1998903
aa4e1ea-bsan,base64ct-1.8.3,success,82.331,281.212,50,50,2026-07-30T17:21:40Z,1998888
aa4e1ea-bsan,ansi_term-0.12.1,success,71.814,29.647,58,58,2026-07-30T17:21:57Z,1998899
aa4e1ea-bsan,core-foundation-sys-0.8.7,success,5.450,1.610,1,1,2026-07-30T17:22:22Z,1998912
aa4e1ea-bsan,csv-1.4.0,test_failed,85.247,4.361,141,0,2026-07-30T17:23:04Z,1998905
aa4e1ea-bsan,byteorder-1.5.0,success,48.697,11.448,290,290,2026-07-30T17:23:15Z,1998913
aa4e1ea-bsan,dirs-sys-0.5.0,success,15.473,1.822,9,9,2026-07-30T17:23:43Z,1998916
aa4e1ea-bsan,async-lock-3.4.2,test_failed,54.337,3.765,2,0,2026-07-30T17:22:50Z,1998896
aa4e1ea-bsan,atomic-waker-1.1.2,success,147.927,2.283,1,1,2026-07-30T17:24:14Z,1998911
aa4e1ea-bsan,futures-task-0.3.32,success,9.290,1.891,1,1,2026-07-30T17:24:23Z,1998932
aa4e1ea-bsan,anstyle-1.0.14,success,35.531,1.940,8,8,2026-07-30T17:24:07Z,1998915
aa4e1ea-bsan,const-oid-0.10.2,success,124.782,56.341,27,27,2026-07-30T17:24:40Z,1998909
aa4e1ea-bsan,either-1.16.0,success,14.078,1.286,7,7,2026-07-30T17:25:23Z,1998938
aa4e1ea-bsan,getrandom-0.4.2,test_failed,9.956,2.991,9,0,2026-07-30T17:25:27Z,1998939
aa4e1ea-bsan,hashlink-0.11.0,success,34.367,9.448,66,66,2026-07-30T17:25:35Z,1998935
aa4e1ea-bsan,anyhow-1.0.102,success,227.209,15.560,71,71,2026-07-30T17:25:42Z,1998910
aa4e1ea-bsan,inout-0.2.2,success,9.529,1.902,1,1,2026-07-30T17:25:50Z,1998941
aa4e1ea-bsan,http-body-1.0.1,success,13.957,1.957,2,2,2026-07-30T17:25:55Z,1998940
