build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
lazy-gc-miri,futures-task-0.3.32,success,0.544,5.403,1,1,2026-08-31T03:18:18Z,2081152
lazy-gc-miri,core-foundation-sys-0.8.7,success,0.647,6.729,1,1,2026-08-31T03:18:18Z,2081145
lazy-gc-miri,base16ct-1.0.0,success,5.667,3.371,10,10,2026-08-31T03:18:20Z,2081144
lazy-gc-miri,anstyle-query-1.1.5,success,0.331,6.627,3,3,2026-08-31T03:18:22Z,2081133
lazy-gc-miri,dirs-sys-0.5.0,success,4.159,3.123,9,9,2026-08-31T03:18:27Z,2081139
lazy-gc-miri,block-buffer-0.12.0,success,9.736,4.007,8,8,2026-08-31T03:18:30Z,2081138
lazy-gc-miri,either-1.16.0,success,5.216,2.201,7,7,2026-08-31T03:18:28Z,2081135
lazy-gc-miri,cc-1.2.63,success,8.050,4.652,15,15,2026-08-31T03:18:30Z,2081146
lazy-gc-miri,bytemuck-1.25.0,success,5.421,13.994,32,32,2026-08-31T03:18:34Z,2081137
lazy-gc-miri,camino-1.2.2,success,11.317,6.871,5,5,2026-08-31T03:18:36Z,2081148
lazy-gc-miri,errno-0.3.14,test_failed,8.984,3.804,4,3,2026-08-31T03:18:38Z,2081157
lazy-gc-miri,cpufeatures-0.3.0,success,2.000,6.670,2,2,2026-08-31T03:18:35Z,2081158
lazy-gc-miri,alloc-no-stdlib-2.0.4,success,6.839,25.151,9,9,2026-08-31T03:18:40Z,2081126
lazy-gc-miri,anstream-1.0.0,success,7.935,2.295,10,10,2026-08-31T03:18:38Z,2081159
lazy-gc-miri,backtrace-0.3.76,test_failed,5.013,8.799,3,1,2026-08-31T03:18:43Z,2081134
lazy-gc-miri,http-body-1.0.1,success,2.509,2.081,2,2,2026-08-31T03:18:47Z,2081163
lazy-gc-miri,alloc-stdlib-0.2.2,test_failed,6.889,25.617,11,2,2026-08-31T03:18:49Z,2081140
lazy-gc-miri,arrayvec-0.7.6,success,16.123,13.184,50,50,2026-08-31T03:18:51Z,2081129
lazy-gc-miri,dirs-sys-next-0.1.2,success,2.358,3.138,9,9,2026-08-31T03:18:55Z,2081155
lazy-gc-miri,bit-set-0.10.0,success,7.621,11.795,24,24,2026-08-31T03:18:54Z,2081156
lazy-gc-miri,der-0.8.0,test_failed,6.183,10.289,78,76,2026-08-31T03:18:59Z,2081167
lazy-gc-miri,anyhow-1.0.102,success,15.090,32.849,71,71,2026-08-31T03:19:03Z,2081147
